,question,type,placeholders,naturalness,difficulty,dbpedia_entities
391,Explain the relationship between the United Nations and the World Health Organization and its significance.,explanatory,"{'entity A': 'United Nations', 'entity B': 'World Health Organization'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/United_Nations', 'entity B': 'http://dbpedia.org/resource/World_Health_Organization'}"
392,"Based on the historical behavior of Microsoft, what do you think it might do in the future?",predictive,{'entity': 'Microsoft'},high,medium,{'entity': 'http://dbpedia.org/resource/Microsoft'}
393,Compare and contrast the leadership styles of Nelson Mandela and Mahatma Gandhi.,comparative,"{'entity A': 'Nelson Mandela', 'entity B': 'Mahatma Gandhi', 'aspect': 'leadership styles'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Nelson_Mandela', 'entity B': 'http://dbpedia.org/resource/Mahatma_Gandhi'}"
394,How do you evaluate the impact of the Industrial Revolution on modern technology? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern technology'}",high,hard,"{'event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Technology'}"
395,Please describe William Shakespeare’s contributions to English literature.,descriptive,{'person': 'William Shakespeare'},high,medium,{'person': 'http://dbpedia.org/resource/William_Shakespeare'}
396,Explain the relationship between Gandhi and Martin Luther King Jr. and its significance.,explanatory,"{'entity A': 'Gandhi', 'entity B': 'Martin Luther King Jr.'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'entity B': 'http://dbpedia.org/resource/Martin_Luther_King_Jr.'}"
397,"Based on the current economic trends, how do you predict the global job market will develop?",predictive,"{'event': 'global job market', 'time': 'current'}",high,medium,{'event': 'http://dbpedia.org/resource/Job_market'}
398,Compare and contrast the similarities and differences between the Renaissance and the Enlightenment in terms of cultural impact.,comparative,"{'entity A': 'Renaissance', 'entity B': 'Enlightenment', 'aspect': 'cultural impact'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Renaissance', 'entity B': 'http://dbpedia.org/resource/Age_of_Enlightenment'}"
399,How do you evaluate the impact of the Industrial Revolution on modern labor practices? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern labor practices'}",high,hard,"{'event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Labor_law'}"
400,Please describe Leonardo da Vinci’s contributions to the field of art and science.,descriptive,{'person': 'Leonardo da Vinci'},high,medium,{'person': 'http://dbpedia.org/resource/Leonardo_da_Vinci'}
401,Why did J.K. Rowling choose to write the Harry Potter series?,explanatory,"{'person': 'J.K. Rowling', 'action': 'write the Harry Potter series'}",high,easy,"{'person': 'http://dbpedia.org/resource/J._K._Rowling', 'action': 'http://dbpedia.org/resource/Harry_Potter'}"
402,"Based on the current trends in technology, how do you predict the development of artificial intelligence in the next decade?",predictive,"{'entity': 'technology', 'event': 'development of artificial intelligence'}",high,hard,"{'entity': 'http://dbpedia.org/resource/Technology', 'event': 'http://dbpedia.org/resource/Artificial_intelligence'}"
403,Compare and contrast the effects of the Renaissance and the Enlightenment on European society.,comparative,"{'historical event A': 'Renaissance', 'historical event B': 'Enlightenment', 'aspect': 'effects on European society'}",high,medium,"{'historical event A': 'http://dbpedia.org/resource/Renaissance', 'historical event B': 'http://dbpedia.org/resource/Age_of_Enlightenment'}"
404,How do you evaluate Elon Musk's impact on the space exploration industry? Please explain your viewpoint.,critical,"{'person/event': 'Elon Musk', 'field': 'space exploration industry'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Elon_Musk', 'field': 'http://dbpedia.org/resource/Space_exploration'}"
405,Please describe Marie Curie's contributions to the field of radioactive science.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
406,Why did Julius Caesar choose to cross the Rubicon in 49 BC?,explanatory,"{'person': 'Julius Caesar', 'action': 'cross the Rubicon', 'time': '49 BC'}",high,medium,"{'person': 'http://dbpedia.org/resource/Julius_Caesar', 'action': 'http://dbpedia.org/resource/Crossing_the_Rubicon', 'time': 'http://dbpedia.org/resource/49_BC'}"
407,"Based on the current trends, how do you predict the renewable energy sector will develop over the next decade?",predictive,{'event': 'renewable energy sector'},high,medium,{'event': 'http://dbpedia.org/resource/Renewable_energy'}
408,Compare and contrast the economic policies of Ronald Reagan and Margaret Thatcher.,comparative,"{'entity A': 'Ronald Reagan', 'entity B': 'Margaret Thatcher', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Ronald_Reagan', 'entity B': 'http://dbpedia.org/resource/Margaret_Thatcher'}"
409,How do you evaluate the impact of the Industrial Revolution on modern technology? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern technology'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Technology'}"
410,Please describe Isaac Newton’s contributions to the field of mathematics.,descriptive,{'person': 'Isaac Newton'},high,medium,{'person': 'http://dbpedia.org/resource/Isaac_Newton'}
411,Why did Mahatma Gandhi choose to start the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'start the Salt March', 'time': '1930'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March', 'time': 'http://dbpedia.org/resource/1930'}"
412,"Based on the historical behavior of Apple Inc., in which fields do you think it might innovate in the future?",predictive,{'entity': 'Apple Inc.'},high,medium,{'entity': 'http://dbpedia.org/resource/Apple_Inc.'}
413,Compare and contrast the economic policies of the First New Deal and the Second New Deal.,comparative,"{'entity A': 'First New Deal', 'entity B': 'Second New Deal', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/New_Deal', 'entity B': 'http://dbpedia.org/resource/New_Deal'}"
414,How do you evaluate the impact of the Industrial Revolution on modern industry? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern industry'}",high,medium,"{'event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Industry'}"
415,Please describe Marie Curie's contributions to the field of chemistry.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
416,Why did the Roman Empire fall in the 5th century?,explanatory,"{'person': 'Roman Empire', 'action': 'fall', 'time': '5th century'}",high,medium,"{'person': 'http://dbpedia.org/resource/Roman_Empire', 'time': 'http://dbpedia.org/resource/5th_century'}"
417,"Based on Amazon's historical behavior, what areas of technology might it focus on in the future?",predictive,{'entity': 'Amazon'},high,medium,{'entity': 'http://dbpedia.org/resource/Amazon_(company)'}
418,Compare and contrast the economic impacts of the Great Depression and the 2008 financial crisis.,comparative,"{'historical event A': 'Great Depression', 'historical event B': '2008 financial crisis', 'aspect': 'economic impacts'}",high,medium,"{'historical event A': 'http://dbpedia.org/resource/Great_Depression', 'historical event B': 'http://dbpedia.org/resource/Financial_crisis_of_2007–2008'}"
419,How do you evaluate the impact of the Industrial Revolution on modern manufacturing? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern manufacturing'}",high,medium,"{'event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Manufacturing'}"
420,Describe Leonardo da Vinci's significant contributions to the art and science fields.,descriptive,{'person': 'Leonardo da Vinci'},high,medium,{'person': 'http://dbpedia.org/resource/Leonardo_da_Vinci'}
421,Why did Nelson Mandela choose to advocate for reconciliation after becoming president in 1994?,explanatory,"{'person': 'Nelson Mandela', 'action': 'advocate for reconciliation', 'time': '1994'}",high,medium,{'person': 'http://dbpedia.org/resource/Nelson_Mandela'}
422,"Based on Amazon's historical behavior, in which fields do you think it might expand in the future?",predictive,{'entity': 'Amazon'},high,medium,{'entity': 'http://dbpedia.org/resource/Amazon_(company)'}
423,Compare and contrast the similarities and differences between the Roman Empire and the Ottoman Empire in terms of military strategies.,comparative,"{'entity A': 'Roman Empire', 'entity B': 'Ottoman Empire', 'aspect': 'military strategies'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Roman_Empire', 'entity B': 'http://dbpedia.org/resource/Ottoman_Empire'}"
424,How do you evaluate the impact of the Industrial Revolution on modern urbanization? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern urbanization'}",high,hard,{'event': 'http://dbpedia.org/resource/Industrial_Revolution'}
425,Please describe Isaac Newton’s contributions to the field of mathematics.,descriptive,{'person': 'Isaac Newton'},high,medium,{'person': 'http://dbpedia.org/resource/Isaac_Newton'}
426,Why did Nelson Mandela decide to run for president of South Africa in 1994?,explanatory,"{'person': 'Nelson Mandela', 'action': 'run for president', 'time': '1994'}",high,medium,"{'person': 'http://dbpedia.org/resource/Nelson_Mandela', 'action': None, 'time': None}"
427,"Based on the historical behavior of Amazon, in which fields do you think it might innovate in the future?",predictive,{'entity': 'Amazon'},high,medium,{'entity': 'http://dbpedia.org/resource/Amazon_(company)'}
428,Compare and contrast the economic policies of Ronald Reagan and Franklin D. Roosevelt.,comparative,"{'entity A': 'Ronald Reagan', 'entity B': 'Franklin D. Roosevelt', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Ronald_Reagan', 'entity B': 'http://dbpedia.org/resource/Franklin_D._Roosevelt'}"
429,How do you evaluate the impact of the Industrial Revolution on modern environmental challenges? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern environmental challenges'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': None}"
430,Please describe Marie Curie's contributions to the field of chemistry.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
431,Why did Japan choose to adopt a policy of isolation during the Edo period?,explanatory,"{'person': 'Japan', 'action': 'adopt a policy of isolation', 'time': 'Edo period'}",high,medium,"{'person': 'http://dbpedia.org/resource/Japan', 'time': 'http://dbpedia.org/resource/Edo_period'}"
432,"Based on current technological trends, how do you predict the development of artificial intelligence will impact healthcare?",predictive,"{'entity': 'artificial intelligence', 'event': 'impact healthcare'}",medium,hard,"{'entity': 'http://dbpedia.org/resource/Artificial_intelligence', 'event': 'http://dbpedia.org/resource/Healthcare'}"
433,Compare and contrast the economic policies of The New Deal and The Great Society.,comparative,"{'entity A': 'The New Deal', 'entity B': 'The Great Society'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/New_Deal', 'entity B': 'http://dbpedia.org/resource/Great_Society'}"
434,How do you evaluate the impact of the internet on modern education? Please explain your viewpoint.,critical,"{'person/event': 'the internet', 'field': 'modern education'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Education'}"
435,Describe the significant contributions of Marie Curie to the field of science.,descriptive,"{'person': 'Marie Curie', 'field': 'science'}",high,medium,"{'person': 'http://dbpedia.org/resource/Marie_Curie', 'field': 'http://dbpedia.org/resource/Science'}"
436,Why did Mahatma Gandhi initiate the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'initiate the Salt March', 'time': '1930'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March', 'time': 'http://dbpedia.org/resource/1930'}"
437,"Based on the current economic trends, how do you predict the global economy will develop in the next decade?",predictive,"{'current situation': 'current economic trends', 'event': 'global economy'}",high,hard,"{'current situation': 'http://dbpedia.org/resource/Economic_trend', 'event': 'http://dbpedia.org/resource/Global_economy'}"
438,Compare and contrast the political philosophies of Karl Marx and Adam Smith regarding economic systems.,comparative,"{'entity A': 'Karl Marx', 'entity B': 'Adam Smith', 'aspect': 'political philosophies regarding economic systems'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Karl_Marx', 'entity B': 'http://dbpedia.org/resource/Adam_Smith', 'aspect': 'http://dbpedia.org/resource/Political_philosophy'}"
439,How do you evaluate Sigmund Freud's impact on modern psychology? Please explain your viewpoint.,critical,"{'person': 'Sigmund Freud', 'field': 'modern psychology'}",high,medium,"{'person': 'http://dbpedia.org/resource/Sigmund_Freud', 'field': 'http://dbpedia.org/resource/Psychology'}"
440,Please describe Marie Curie's contributions to the field of chemistry.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
441,Why did Martin Luther King Jr. organize the March on Washington in 1963?,explanatory,"{'person': 'Martin Luther King Jr.', 'action': 'organize the March on Washington', 'time': '1963'}",high,medium,"{'person': 'http://dbpedia.org/resource/Martin_Luther_King_Jr.', 'action': 'http://dbpedia.org/resource/March_on_Washington_for_Jobs_and_Freedom', 'time': 'http://dbpedia.org/resource/1963'}"
442,"Based on the current trends, how do you predict the development of renewable energy technologies?",predictive,{'event': 'the development of renewable energy technologies'},high,medium,{'event': 'http://dbpedia.org/resource/Renewable_energy'}
443,Compare and contrast the economic policies of John F. Kennedy and Ronald Reagan.,comparative,"{'entity A': 'John F. Kennedy', 'entity B': 'Ronald Reagan', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/John_F._Kennedy', 'entity B': 'http://dbpedia.org/resource/Ronald_Reagan', 'aspect': 'http://dbpedia.org/resource/Economic_policy'}"
444,How do you evaluate the impact of the Industrial Revolution on modern technology? Please explain your viewpoint.,critical,"{'event': 'the Industrial Revolution', 'field': 'modern technology'}",high,medium,"{'event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Technology'}"
445,Please describe Isaac Newton's contributions to the field of science.,descriptive,"{'person': 'Isaac Newton', 'field': 'science'}",high,easy,"{'person': 'http://dbpedia.org/resource/Isaac_Newton', 'field': 'http://dbpedia.org/resource/Science'}"
446,Why did Mahatma Gandhi choose to lead the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'lead the Salt March', 'time': '1930'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March', 'time': 'http://dbpedia.org/resource/1930'}"
447,"Based on Tesla’s historical behavior, in which fields do you think it might innovate in the future?",predictive,{'entity': 'Tesla'},high,medium,"{'entity': 'http://dbpedia.org/resource/Tesla,_Inc.'}"
448,Compare and contrast the similarities and differences between the American Revolution and the French Revolution in terms of their causes.,comparative,"{'entity A': 'American Revolution', 'entity B': 'French Revolution', 'aspect': 'causes'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/American_Revolution', 'entity B': 'http://dbpedia.org/resource/French_Revolution'}"
449,How do you evaluate the impact of social media on modern communication? Please explain your viewpoint.,critical,"{'person/event': 'social media', 'field': 'modern communication'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Communication'}"
450,Please describe Marie Curie’s contributions to the field of chemistry.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
451,Why did Abraham Lincoln decide to issue the Emancipation Proclamation in 1863?,explanatory,"{'person': 'Abraham Lincoln', 'action': 'issue the Emancipation Proclamation', 'time': '1863'}",high,medium,"{'person': 'http://dbpedia.org/resource/Abraham_Lincoln', 'action': 'http://dbpedia.org/resource/Emancipation_Proclamation'}"
452,"Based on the historical behavior of Amazon, in which markets do you think it might expand in the future?",predictive,{'entity': 'Amazon'},high,medium,{'entity': 'http://dbpedia.org/resource/Amazon_(company)'}
453,Compare the impact of the Industrial Revolution and the Digital Revolution on the economy.,comparative,"{'historical event A': 'Industrial Revolution', 'historical event B': 'Digital Revolution', 'aspect': 'economy'}",high,medium,"{'historical event A': 'http://dbpedia.org/resource/Industrial_Revolution', 'historical event B': 'http://dbpedia.org/resource/Digital_Revolution'}"
454,How do you evaluate the impact of the European Union on international trade? Please explain your viewpoint.,critical,"{'person/event': 'European Union', 'field': 'international trade'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/European_Union', 'field': 'http://dbpedia.org/resource/International_trade'}"
455,Please describe Nikola Tesla's contributions to the field of electrical engineering.,descriptive,{'person': 'Nikola Tesla'},high,medium,{'person': 'http://dbpedia.org/resource/Nikola_Tesla'}
456,Explain the relationship between the United Nations and the World Health Organization and its significance.,explanatory,"{'entity A': 'United Nations', 'entity B': 'World Health Organization'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/United_Nations', 'entity B': 'http://dbpedia.org/resource/World_Health_Organization'}"
457,"Based on the current trends, how do you predict the development of renewable energy technologies in the next decade?",predictive,{'event': 'renewable energy technologies'},high,medium,{'event': 'http://dbpedia.org/resource/Renewable_energy'}
458,Compare and contrast the philosophical ideologies of Socrates and Confucius in terms of ethics and morality.,comparative,"{'entity A': 'Socrates', 'entity B': 'Confucius', 'aspect': 'ethics and morality'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Socrates', 'entity B': 'http://dbpedia.org/resource/Confucius'}"
459,How do you evaluate the impact of the Industrial Revolution on modern economic thought? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern economic thought'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Economic_theory'}"
460,Please describe Nikola Tesla's contributions to the development of modern electrical engineering.,descriptive,{'person': 'Nikola Tesla'},high,medium,{'person': 'http://dbpedia.org/resource/Nikola_Tesla'}
461,Why did Nelson Mandela decide to pursue peaceful negotiations with the apartheid government in the 1990s?,explanatory,"{'person': 'Nelson Mandela', 'action': 'pursue peaceful negotiations', 'time': '1990s'}",high,medium,{'person': 'http://dbpedia.org/resource/Nelson_Mandela'}
462,"Based on SpaceX's historical behavior, in which areas do you think it might innovate in the future?",predictive,{'entity': 'SpaceX'},high,medium,{'entity': 'http://dbpedia.org/resource/SpaceX'}
463,Compare the impact of the Industrial Revolution and the Digital Revolution on the global economy.,comparative,"{'historical event A': 'Industrial Revolution', 'historical event B': 'Digital Revolution'}",high,medium,"{'historical event A': 'http://dbpedia.org/resource/Industrial_Revolution', 'historical event B': 'http://dbpedia.org/resource/Digital_Revolution'}"
464,How do you think the principles of quantum computing can be applied to improvement of data encryption methods? Please provide specific suggestions.,critical,"{'theory/method': 'principles of quantum computing', 'practical issue': 'improvement of data encryption methods'}",high,hard,{'theory/method': 'http://dbpedia.org/resource/Quantum_computing'}
465,Provide a detailed description of the background and course of the Industrial Revolution.,descriptive,{'event': 'Industrial Revolution'},high,medium,{'event': 'http://dbpedia.org/resource/Industrial_Revolution'}
466,Why did Mahatma Gandhi lead the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'lead the Salt March', 'time': 1930}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March', 'time': 1930}"
467,"Based on current technological advancements, how do you predict the development of artificial intelligence in the next decade?",predictive,{'event': 'development of artificial intelligence'},high,medium,{'event': 'http://dbpedia.org/resource/Artificial_intelligence'}
468,Compare and contrast the similarities and differences between the economic policies of Franklin D. Roosevelt and Ronald Reagan.,comparative,"{'entity A': 'Franklin D. Roosevelt', 'entity B': 'Ronald Reagan', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Franklin_D._Roosevelt', 'entity B': 'http://dbpedia.org/resource/Ronald_Reagan', 'aspect': 'http://dbpedia.org/resource/Economic_policy'}"
469,How do you evaluate the impact of the internet on modern education? Please explain your viewpoint.,critical,"{'event': 'impact of the internet', 'field': 'modern education'}",high,medium,"{'event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Education'}"
470,Please describe Marie Curie's contributions to the field of chemistry.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
471,Why did Nelson Mandela choose to implement reconciliation policies after 1994?,explanatory,"{'person': 'Nelson Mandela', 'action': 'implement reconciliation policies', 'time': '1994'}",high,medium,{'person': 'http://dbpedia.org/resource/Nelson_Mandela'}
472,"Based on Apple's historical behavior, in which sectors do you think it might innovate in the future?",predictive,{'entity': 'Apple'},high,medium,{'entity': 'http://dbpedia.org/resource/Apple_Inc.'}
473,Compare and contrast the economic policies of Reagan and Obama in terms of their impact on the U.S. economy.,comparative,"{'entity A': 'Reagan', 'entity B': 'Obama', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Ronald_Reagan', 'entity B': 'http://dbpedia.org/resource/Barack_Obama'}"
474,How do you evaluate the impact of social media on modern political campaigns? Please explain your viewpoint.,critical,"{'person/event': 'social media', 'field': 'modern political campaigns'}",high,medium,{'person/event': 'http://dbpedia.org/resource/Social_media'}
475,Please describe Marie Curie's contributions to the field of chemistry.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
476,Explain the relationship between the Roman Empire and Christianity and its significance.,explanatory,"{'entity A': 'Roman Empire', 'entity B': 'Christianity'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Roman_Empire', 'entity B': 'http://dbpedia.org/resource/Christianity'}"
477,"Based on the current technological advancements, how do you predict the future of artificial intelligence?",predictive,{'event': 'artificial intelligence'},high,hard,{'entity': 'http://dbpedia.org/resource/Artificial_intelligence'}
478,Compare and contrast the economic consequences of the Great Depression and the 2008 financial crisis.,comparative,"{'event A': 'Great Depression', 'event B': '2008 financial crisis', 'aspect': 'economic consequences'}",high,hard,"{'event A': 'http://dbpedia.org/resource/Great_Depression', 'event B': 'http://dbpedia.org/resource/Financial_crisis_of_2007%E2%80%932008'}"
479,How do you evaluate the impact of Sigmund Freud's theories on modern psychology? Please explain your viewpoint.,critical,"{'person': 'Sigmund Freud', 'field': 'modern psychology'}",high,medium,"{'person': 'http://dbpedia.org/resource/Sigmund_Freud', 'field': 'http://dbpedia.org/resource/Psychology'}"
480,Please describe Marie Curie's contributions to the field of chemistry.,descriptive,"{'person': 'Marie Curie', 'field': 'chemistry'}",high,medium,"{'person': 'http://dbpedia.org/resource/Marie_Curie', 'field': 'http://dbpedia.org/resource/Chemistry'}"
481,Why did Abraham Lincoln choose to issue the Emancipation Proclamation in 1863?,explanatory,"{'person': 'Abraham Lincoln', 'action': 'issue the Emancipation Proclamation', 'time': '1863'}",high,medium,"{'person': 'http://dbpedia.org/resource/Abraham_Lincoln', 'action': 'http://dbpedia.org/resource/Emancipation_Proclamation', 'time': 'http://dbpedia.org/resource/1863'}"
482,"Based on recent trends, how do you predict renewable energy adoption will develop over the next decade?",predictive,{'event': 'renewable energy adoption'},high,medium,{'event': 'http://dbpedia.org/resource/Renewable_energy'}
483,Compare and contrast the economic policies of John F. Kennedy and Ronald Reagan.,comparative,"{'entity A': 'John F. Kennedy', 'entity B': 'Ronald Reagan', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/John_F._Kennedy', 'entity B': 'http://dbpedia.org/resource/Ronald_Reagan'}"
484,How do you evaluate the impact of social media on political activism? Please explain your viewpoint.,critical,"{'event': 'social media', 'field': 'political activism'}",high,medium,"{'event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Political_activism'}"
485,Please describe Nikola Tesla's contributions to the development of electrical engineering.,descriptive,{'person': 'Nikola Tesla'},high,medium,{'person': 'http://dbpedia.org/resource/Nikola_Tesla'}
486,Why did the Roman Empire fall in AD 476?,explanatory,"{'event': 'fall of the Roman Empire', 'time': 'AD 476'}",high,medium,"{'event': 'http://dbpedia.org/resource/Fall_of_the_Western_Roman_Empire', 'time': 'http://dbpedia.org/resource/AD_476'}"
487,"Based on the current economic trends, how do you predict the global job market will evolve over the next decade?",predictive,{'event': 'global job market'},high,medium,{'event': 'http://dbpedia.org/resource/Job_market'}
488,Compare and contrast the economic policies implemented during the Great Depression and the 2008 Financial Crisis.,comparative,"{'historical event A': 'Great Depression', 'historical event B': '2008 Financial Crisis', 'aspect': 'economic policies'}",high,hard,"{'historical event A': 'http://dbpedia.org/resource/Great_Depression', 'historical event B': 'http://dbpedia.org/resource/Financial_crisis_of_2007–2008'}"
489,How do you evaluate the impact of social media on political communication? Please explain your viewpoint.,critical,"{'event': 'social media', 'field': 'political communication'}",high,medium,"{'event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Political_communication'}"
490,Please describe Ada Lovelace’s contributions to the field of computing.,descriptive,{'person': 'Ada Lovelace'},high,medium,{'person': 'http://dbpedia.org/resource/Ada_Lovelace'}
491,Why did Mahatma Gandhi choose to start the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'start the Salt March', 'time': '1930'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March'}"
492,"Based on the current technological trends, how do you predict the development of renewable energy sources?",predictive,{'event': 'development of renewable energy sources'},high,medium,{'event': 'http://dbpedia.org/resource/Renewable_energy'}
493,Compare and contrast the economic policies of Ronald Reagan and Franklin D. Roosevelt.,comparative,"{'entity A': 'Ronald Reagan', 'entity B': 'Franklin D. Roosevelt', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Ronald_Reagan', 'entity B': 'http://dbpedia.org/resource/Franklin_D._Roosevelt'}"
494,How do you evaluate the impact of social media on political discourse? Please explain your viewpoint.,critical,"{'person/event': 'social media', 'field': 'political discourse'}",high,medium,{'person/event': 'http://dbpedia.org/resource/Social_media'}
495,Describe Leonardo da Vinci's significant contributions during his career.,descriptive,{'person': 'Leonardo da Vinci'},high,medium,{'person': 'http://dbpedia.org/resource/Leonardo_da_Vinci'}
496,Why did Cleopatra take her life in 30 BC?,explanatory,"{'person': 'Cleopatra', 'action': 'take her life', 'time': '30 BC'}",high,medium,{'person': 'http://dbpedia.org/resource/Cleopatra'}
497,"Based on the historical behavior of Google, in which fields do you think it might innovate in the future?",predictive,{'entity': 'Google'},high,medium,{'entity': 'http://dbpedia.org/resource/Google'}
498,Compare and contrast the similarities and differences between the Roman Empire and the Mongol Empire in terms of territorial expansion.,comparative,"{'entity A': 'Roman Empire', 'entity B': 'Mongol Empire', 'aspect': 'territorial expansion'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Roman_Empire', 'entity B': 'http://dbpedia.org/resource/Mongol_Empire'}"
499,How do you evaluate the impact of the Industrial Revolution on modern urbanization? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern urbanization'}",high,hard,{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution'}
500,Describe Marie Curie's significant contributions during her career.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
501,Explain the relationship between the Renaissance and the Scientific Revolution and its significance.,explanatory,"{'entity A': 'Renaissance', 'entity B': 'Scientific Revolution'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Renaissance', 'entity B': 'http://dbpedia.org/resource/Scientific_Revolution'}"
502,"Based on the historical behavior of Amazon, in which fields do you think it might innovate in the future?",predictive,{'entity': 'Amazon'},high,medium,{'entity': 'http://dbpedia.org/resource/Amazon_(company)'}
503,Compare and contrast the similarities and differences between Roman and Greek architecture in terms of structural design.,comparative,"{'entity A': 'Roman architecture', 'entity B': 'Greek architecture', 'aspect': 'structural design'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Ancient_Roman_architecture', 'entity B': 'http://dbpedia.org/resource/Ancient_Greek_architecture'}"
504,How do you evaluate the impact of the Industrial Revolution on modern economic development? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern economic development'}",high,hard,"{'event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Economic_development'}"
