,question,type,placeholders,naturalness,difficulty,dbpedia_entities,id,dbpedia_entities_re
158,How do you evaluate the impact of social media on modern political campaigns? Please explain your viewpoint.,critical,"{'phenomenon': 'social media', 'context': 'modern political campaigns'}",high,hard,"{'phenomenon': 'http://dbpedia.org/resource/Social_media', 'context': 'http://dbpedia.org/resource/Political_campaign'}",158,"{'phenomenon': 'Social_media', 'context': 'Political_campaign'}"
159,"Based on the current developments in artificial intelligence, how do you predict the job market will change?",predictive,"{'current situation': 'current developments in artificial intelligence', 'event': 'job market'}",high,medium,"{'current situation': 'http://dbpedia.org/resource/Artificial_intelligence', 'event': 'http://dbpedia.org/resource/Job_market'}",159,"{'current situation': 'Artificial_intelligence', 'event': 'Job_market'}"
160,Compare and contrast the similarities and differences between the educational systems of Finland and South Korea in terms of student performance.,comparative,"{'entity A': 'educational systems of Finland', 'entity B': 'South Korea', 'aspect': 'student performance'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Education_in_Finland', 'entity B': 'http://dbpedia.org/resource/Education_in_South_Korea'}",160,"{'entity A': 'Education_in_Finland', 'entity B': 'Education_in_South_Korea'}"
161,How do you evaluate the impact of the invention of the Internet on global communication? Please explain your viewpoint.,critical,"{'person/event': 'invention of the Internet', 'field': 'global communication'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/History_of_the_Internet', 'field': 'http://dbpedia.org/resource/Global_communication'}",161,"{'person/event': 'History_of_the_Internet', 'field': 'Global_communication'}"
162,Please describe Marie Curie's contributions to the field of radioactivity.,descriptive,"{'person': 'Marie Curie', 'field': 'radioactivity'}",high,medium,"{'person': 'http://dbpedia.org/resource/Marie_Curie', 'field': 'http://dbpedia.org/resource/Radioactivity'}",162,"{'person': 'Marie_Curie', 'field': 'Radioactivity'}"
163,Why did Mahatma Gandhi choose to initiate the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'initiate the Salt March', 'time': '1930'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March', 'time': 'http://dbpedia.org/resource/1930'}",163,"{'person': 'Mahatma_Gandhi', 'action': 'Salt_March', 'time': '1930'}"
164,"Based on China's recent advancements in technology, in which areas do you think it might focus innovation in the next five years?",predictive,"{'entity': 'China', 'future_period': 'next five years'}",high,medium,"{'entity': 'http://dbpedia.org/resource/China', 'future_period': 'http://dbpedia.org/resource/Future'}",164,"{'entity': 'China', 'future_period': 'Future'}"
165,Compare and contrast the economic impacts of the Great Depression and the 2008 Financial Crisis.,comparative,"{'historical event A': 'Great Depression', 'historical event B': '2008 Financial Crisis', 'aspect': 'economic impacts'}",high,hard,"{'historical event A': 'http://dbpedia.org/resource/Great_Depression', 'historical event B': 'http://dbpedia.org/resource/Financial_crisis_of_2007–2008', 'aspect': 'http://dbpedia.org/resource/Economic_impact'}",165,"{'historical event A': 'Great_Depression', 'historical event B': 'Financial_crisis_of_2007–2008', 'aspect': 'Economic_impact'}"
166,Why did Cleopatra form an alliance with Julius Caesar at the dawn of the Roman Empire?,explanatory,"{'person': 'Cleopatra', 'action': 'form an alliance with Julius Caesar', 'time': 'dawn of the Roman Empire'}",high,medium,"{'person': 'http://dbpedia.org/resource/Cleopatra', 'person B': 'http://dbpedia.org/resource/Julius_Caesar', 'time': 'http://dbpedia.org/resource/Roman_Empire'}",166,"{'person': 'Cleopatra', 'person B': 'Julius_Caesar', 'time': 'Roman_Empire'}"
167,Compare and contrast the similarities and differences between the theories of Sigmund Freud and Carl Jung in regard to the unconscious mind.,comparative,"{'entity A': 'Sigmund Freud', 'entity B': 'Carl Jung', 'aspect': 'the unconscious mind'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Sigmund_Freud', 'entity B': 'http://dbpedia.org/resource/Carl_Jung', 'aspect': 'http://dbpedia.org/resource/Unconscious_mind'}",167,"{'entity A': 'Sigmund_Freud', 'entity B': 'Carl_Jung', 'aspect': 'Unconscious_mind'}"
168,Why did Franklin D. Roosevelt implement the New Deal programs in the 1930s?,explanatory,"{'person': 'Franklin D. Roosevelt', 'action': 'implement the New Deal programs', 'time': '1930s'}",high,medium,"{'person': 'http://dbpedia.org/resource/Franklin_D._Roosevelt', 'action': 'http://dbpedia.org/resource/New_Deal', 'time': 'http://dbpedia.org/resource/1930s'}",168,"{'person': 'Franklin_D._Roosevelt', 'action': 'New_Deal', 'time': '1930s'}"
169,"Based on the current technological advancements, how do you predict artificial intelligence will shape the future of work?",predictive,"{'entity': 'current technological advancements', 'event': 'artificial intelligence will shape the future of work'}",high,hard,"{'entity': 'http://dbpedia.org/resource/Technology', 'event': 'http://dbpedia.org/resource/Artificial_intelligence'}",169,"{'entity': 'Technology', 'event': 'Artificial_intelligence'}"
170,How do you evaluate the impact of social media on political campaigns? Please explain your viewpoint.,critical,"{'person/event': 'social media', 'field': 'political campaigns'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Political_campaign'}",170,"{'person/event': 'Social_media', 'field': 'Political_campaign'}"
171,Why did Mahatma Gandhi choose non-violent resistance during the Indian independence movement?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'non-violent resistance', 'time': 'Indian independence movement'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'time': 'http://dbpedia.org/resource/Indian_independence_movement'}",171,"{'person': 'Mahatma_Gandhi', 'time': 'Indian_independence_movement'}"
172,Compare and contrast the healthcare systems of the United States and Canada in terms of accessibility and affordability.,comparative,"{'entity A': 'United States healthcare system', 'entity B': 'Canada healthcare system', 'aspect': 'accessibility and affordability'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Healthcare_in_the_United_States', 'entity B': 'http://dbpedia.org/resource/Healthcare_in_Canada'}",172,"{'entity A': 'Healthcare_in_the_United_States', 'entity B': 'Healthcare_in_Canada'}"
173,How do you evaluate the impact of the Industrial Revolution on modern society? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern society'}",high,hard,{'event': 'http://dbpedia.org/resource/Industrial_Revolution'},173,{'event': 'Industrial_Revolution'}
174,Why did Nelson Mandela choose to adopt a policy of reconciliation after his release from prison?,explanatory,"{'person': 'Nelson Mandela', 'action': 'adopt a policy of reconciliation', 'time': 'after his release from prison'}",high,medium,{'person': 'http://dbpedia.org/resource/Nelson_Mandela'},174,{'person': 'Nelson_Mandela'}
175,"Based on current technological advancements, how do you predict the development of electric vehicles will evolve over the next decade?",predictive,"{'entity': 'electric vehicles', 'time': 'the next decade'}",high,medium,{'entity': 'http://dbpedia.org/resource/Electric_vehicle'},175,{'entity': 'Electric_vehicle'}
176,Compare and contrast the similarities and differences between the social policies of Franklin D. Roosevelt and Lyndon B. Johnson.,comparative,"{'entity A': 'Franklin D. Roosevelt', 'entity B': 'Lyndon B. Johnson', 'aspect': 'social policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Franklin_D._Roosevelt', 'entity B': 'http://dbpedia.org/resource/Lyndon_B._Johnson'}",176,"{'entity A': 'Franklin_D._Roosevelt', 'entity B': 'Lyndon_B._Johnson'}"
177,How do you evaluate the impact of the Industrial Revolution on modern economic practices? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern economic practices'}",high,hard,{'event': 'http://dbpedia.org/resource/Industrial_Revolution'},177,{'event': 'Industrial_Revolution'}
178,"Based on the current trends, how do you predict the development of renewable energy technologies will evolve in the next decade?",predictive,"{'entity': 'renewable energy technologies', 'future timeframe': 'the next decade'}",high,medium,{'entity': 'http://dbpedia.org/resource/Renewable_energy'},178,{'entity': 'Renewable_energy'}
179,Compare and contrast the effectiveness of democracy and authoritarianism in handling economic crises.,comparative,"{'entity A': 'democracy', 'entity B': 'authoritarianism', 'aspect': 'handling economic crises'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Democracy', 'entity B': 'http://dbpedia.org/resource/Authoritarianism'}",179,"{'entity A': 'Democracy', 'entity B': 'Authoritarianism'}"
180,How do you evaluate the impact of social media on modern political campaigns? Please explain your viewpoint.,critical,"{'person/event': 'social media', 'field': 'modern political campaigns'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Political_campaign'}",180,"{'person/event': 'Social_media', 'field': 'Political_campaign'}"
181,"Based on the current technological advancements, how do you predict artificial intelligence will impact job markets?",predictive,"{'event': 'artificial intelligence', 'field': 'job markets'}",high,hard,"{'event': 'http://dbpedia.org/resource/Artificial_intelligence', 'field': 'http://dbpedia.org/resource/Job_market'}",181,"{'event': 'Artificial_intelligence', 'field': 'Job_market'}"
182,Compare and contrast the economic policies of the Obama administration and the Trump administration.,comparative,"{'entity A': 'Obama administration', 'entity B': 'Trump administration', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Presidency_of_Barack_Obama', 'entity B': 'http://dbpedia.org/resource/Presidency_of_Donald_Trump'}",182,"{'entity A': 'Presidency_of_Barack_Obama', 'entity B': 'Presidency_of_Donald_Trump'}"
183,How do you evaluate the impact of the Industrial Revolution on modern urban development? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern urban development'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Urban_development'}",183,"{'person/event': 'Industrial_Revolution', 'field': 'Urban_development'}"
184,"Based on the current economic trends, how do you predict the global economy will develop in the next decade?",predictive,"{'current situation': 'current economic trends', 'event': 'global economy'}",high,medium,"{'current situation': 'http://dbpedia.org/resource/Economic_trend', 'event': 'http://dbpedia.org/resource/Global_economy'}",184,"{'current situation': 'Economic_trend', 'event': 'Global_economy'}"
185,Compare and contrast the similarities and differences between Python and Java in terms of programming paradigms.,comparative,"{'entity A': 'Python', 'entity B': 'Java', 'aspect': 'programming paradigms'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Python_(programming_language)', 'entity B': 'http://dbpedia.org/resource/Java_(programming_language)'}",185,"{'entity A': 'Python_(programming_language)', 'entity B': 'Java_(programming_language)'}"
186,"Why did J.K. Rowling choose to write the Harry Potter series, and what were the influences that guided her?",explanatory,"{'person': 'J.K. Rowling', 'action': 'write the Harry Potter series', 'time': ''}",high,medium,{'person': 'http://dbpedia.org/resource/J._K._Rowling'},186,{'person': 'J._K._Rowling'}
187,"Based on the historical trends of renewable energy adoption, how do you predict its global market share will develop in the next decade?",predictive,"{'entity': 'renewable energy', 'event': 'global market share development'}",high,medium,{'entity': 'http://dbpedia.org/resource/Renewable_energy'},187,{'entity': 'Renewable_energy'}
188,Please describe Florence Nightingale’s contributions to the field of nursing.,descriptive,{'person': 'Florence Nightingale'},high,medium,{'person': 'http://dbpedia.org/resource/Florence_Nightingale'},188,{'person': 'Florence_Nightingale'}
189,Why did Nelson Mandela choose to run for presidency in 1994?,explanatory,"{'person': 'Nelson Mandela', 'action': 'run for presidency', 'time': '1994'}",high,medium,{'person': 'http://dbpedia.org/resource/Nelson_Mandela'},189,{'person': 'Nelson_Mandela'}
190,"Based on the historical behavior of the European Union, what policies might it implement in the future regarding digital privacy?",predictive,{'entity': 'European Union'},high,hard,{'entity': 'http://dbpedia.org/resource/European_Union'},190,{'entity': 'European_Union'}
191,Compare and contrast the environmental laws in the United States and Germany in terms of renewable energy adoption.,comparative,"{'entity A': 'United States', 'entity B': 'Germany', 'aspect': 'renewable energy adoption'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/United_States', 'entity B': 'http://dbpedia.org/resource/Germany'}",191,"{'entity A': 'United_States', 'entity B': 'Germany'}"
192,How do you evaluate the impact of the Affordable Care Act on the American healthcare system? Please explain your viewpoint.,critical,"{'person/event': 'Affordable Care Act', 'field': 'American healthcare system'}",high,medium,{'person/event': 'http://dbpedia.org/resource/Patient_Protection_and_Affordable_Care_Act'},192,{'person/event': 'Patient_Protection_and_Affordable_Care_Act'}
193,Explain the relationship between the Roman Empire and the Ancient Greek civilization and its significance.,explanatory,"{'entity A': 'Roman Empire', 'entity B': 'Ancient Greek civilization'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Roman_Empire', 'entity B': 'http://dbpedia.org/resource/Ancient_Greece'}",193,"{'entity A': 'Roman_Empire', 'entity B': 'Ancient_Greece'}"
194,Please describe Charles Darwin’s contributions to the field of biology.,descriptive,"{'person': 'Charles Darwin', 'field': 'biology'}",high,medium,"{'person': 'http://dbpedia.org/resource/Charles_Darwin', 'field': 'http://dbpedia.org/resource/Biology'}",194,"{'person': 'Charles_Darwin', 'field': 'Biology'}"
195,Why did Barack Obama choose to implement the Affordable Care Act in 2010?,explanatory,"{'person': 'Barack Obama', 'action': 'implement the Affordable Care Act', 'time': '2010'}",high,medium,"{'person': 'http://dbpedia.org/resource/Barack_Obama', 'action': 'http://dbpedia.org/resource/Patient_Protection_and_Affordable_Care_Act', 'time': 'http://dbpedia.org/resource/2010'}",195,"{'person': 'Barack_Obama', 'action': 'Patient_Protection_and_Affordable_Care_Act', 'time': '2010'}"
196,Compare and contrast the leadership styles of Elon Musk and Jeff Bezos in terms of innovation management.,comparative,"{'entity A': 'Elon Musk', 'entity B': 'Jeff Bezos', 'aspect': 'innovation management'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Elon_Musk', 'entity B': 'http://dbpedia.org/resource/Jeff_Bezos', 'aspect': 'http://dbpedia.org/resource/Innovation_management'}",196,"{'entity A': 'Elon_Musk', 'entity B': 'Jeff_Bezos', 'aspect': 'Innovation_management'}"
197,"Based on the current trends in renewable energy, how do you predict the development of solar power technology in the next decade?",predictive,"{'current situation': 'current trends in renewable energy', 'event': 'development of solar power technology'}",high,medium,"{'current situation': 'http://dbpedia.org/resource/Renewable_energy', 'event': 'http://dbpedia.org/resource/Solar_power'}",197,"{'current situation': 'Renewable_energy', 'event': 'Solar_power'}"
198,Compare and contrast the similarities and differences between the French Revolution and the American Revolution in terms of their causes and outcomes.,comparative,"{'entity A': 'French Revolution', 'entity B': 'American Revolution', 'aspect': 'their causes and outcomes'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/French_Revolution', 'entity B': 'http://dbpedia.org/resource/American_Revolution'}",198,"{'entity A': 'French_Revolution', 'entity B': 'American_Revolution'}"
199,How do you evaluate the impact of the Industrial Revolution on the economic development of Europe? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'the economic development of Europe'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Economic_history_of_Europe'}",199,"{'person/event': 'Industrial_Revolution', 'field': 'Economic_history_of_Europe'}"
200,Explain the relationship between Napoleon Bonaparte and the French Revolution and its significance.,explanatory,"{'entity A': 'Napoleon Bonaparte', 'entity B': 'French Revolution'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Napoleon', 'entity B': 'http://dbpedia.org/resource/French_Revolution'}",200,"{'entity A': 'Napoleon', 'entity B': 'French_Revolution'}"
201,"Based on the current geopolitical climate, how do you predict international trade policies will develop?",predictive,{'event': 'international trade policies'},high,hard,{'event': 'http://dbpedia.org/resource/International_trade'},201,{'event': 'International_trade'}
202,Compare and contrast the healthcare systems of Canada and the United States.,comparative,"{'entity A': 'Canada', 'entity B': 'United States', 'aspect': 'healthcare systems'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Canada', 'entity B': 'http://dbpedia.org/resource/United_States'}",202,"{'entity A': 'Canada', 'entity B': 'United_States'}"
203,"Based on the current advancements in artificial intelligence, how do you predict the job market will evolve?",predictive,"{'current situation': 'advancements in artificial intelligence', 'event': 'job market'}",high,medium,"{'current situation': 'http://dbpedia.org/resource/Artificial_intelligence', 'event': 'http://dbpedia.org/resource/Labour_market'}",203,"{'current situation': 'Artificial_intelligence', 'event': 'Labour_market'}"
204,Compare the impact of the American Civil War and the French Revolution on their respective countries.,comparative,"{'historical event A': 'American Civil War', 'historical event B': 'French Revolution'}",high,hard,"{'historical event A': 'http://dbpedia.org/resource/American_Civil_War', 'historical event B': 'http://dbpedia.org/resource/French_Revolution'}",204,"{'historical event A': 'American_Civil_War', 'historical event B': 'French_Revolution'}"
205,Why did the United States decide to enter World War II in 1941?,explanatory,"{'person': 'the United States', 'action': 'enter World War II', 'time': '1941'}",high,medium,"{'person': 'http://dbpedia.org/resource/United_States', 'event': 'http://dbpedia.org/resource/World_War_II', 'time': 'http://dbpedia.org/resource/1941'}",205,"{'person': 'United_States', 'event': 'World_War_II', 'time': '1941'}"
206,How do you evaluate the impact of social media on political movements? Please explain your viewpoint.,critical,"{'person/event': 'social media', 'field': 'political movements'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Political_movement'}",206,"{'person/event': 'Social_media', 'field': 'Political_movement'}"
207,Why did Martin Luther King Jr. lead the Montgomery Bus Boycott in 1955?,explanatory,"{'person': 'Martin Luther King Jr.', 'action': 'lead the Montgomery Bus Boycott', 'time': '1955'}",high,medium,"{'person': 'http://dbpedia.org/resource/Martin_Luther_King_Jr.', 'event': 'http://dbpedia.org/resource/Montgomery_bus_boycott'}",207,"{'person': 'Martin_Luther_King_Jr.', 'event': 'Montgomery_bus_boycott'}"
208,How do you evaluate the impact of the Industrial Revolution on modern industrial practices? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern industrial practices'}",high,medium,{'event': 'http://dbpedia.org/resource/Industrial_Revolution'},208,{'event': 'Industrial_Revolution'}
209,Please describe Marie Curie's contributions to the field of chemistry.,descriptive,"{'person': 'Marie Curie', 'field': 'chemistry'}",high,medium,"{'person': 'http://dbpedia.org/resource/Marie_Curie', 'field': 'http://dbpedia.org/resource/Chemistry'}",209,"{'person': 'Marie_Curie', 'field': 'Chemistry'}"
210,Explain the relationship between the Roman Empire and early Christianity and its significance.,explanatory,"{'entity A': 'Roman Empire', 'entity B': 'early Christianity'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Roman_Empire', 'entity B': 'http://dbpedia.org/resource/Christianity_in_the_1st_century'}",210,"{'entity A': 'Roman_Empire', 'entity B': 'Christianity_in_the_1st_century'}"
211,"Based on the current trends in renewable energy adoption, how do you predict global energy policies will evolve over the next decade?",predictive,"{'current trends': 'renewable energy adoption', 'event': 'global energy policies evolution'}",high,medium,"{'current trends': 'http://dbpedia.org/resource/Renewable_energy', 'event': 'http://dbpedia.org/resource/Energy_policy'}",211,"{'current trends': 'Renewable_energy', 'event': 'Energy_policy'}"
212,Compare and contrast the political ideologies of Communism and Capitalism in terms of economic equality.,comparative,"{'entity A': 'Communism', 'entity B': 'Capitalism', 'aspect': 'economic equality'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Communism', 'entity B': 'http://dbpedia.org/resource/Capitalism', 'aspect': 'http://dbpedia.org/page/Economic_equality'}",212,"{'entity A': 'Communism', 'entity B': 'Capitalism', 'aspect': 'Economic_equality'}"
213,How do you evaluate the impact of the Industrial Revolution on modern technology? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern technology'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Technology'}",213,"{'person/event': 'Industrial_Revolution', 'field': 'Technology'}"
214,Explain the relationship between social media and political activism and its significance.,explanatory,"{'entity A': 'social media', 'entity B': 'political activism'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Social_media', 'entity B': 'http://dbpedia.org/resource/Political_activism'}",214,"{'entity A': 'Social_media', 'entity B': 'Political_activism'}"
215,"Based on the current trends in artificial intelligence, how do you predict the job market will change in the next decade?",predictive,{'event': 'job market'},high,medium,{'event': 'http://dbpedia.org/resource/Employment'},215,{'event': 'Employment'}
216,How do you evaluate the impact of the internet on traditional media? Please explain your viewpoint.,critical,"{'person/event': 'internet', 'field': 'traditional media'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Traditional_media'}",216,"{'person/event': 'Internet', 'field': 'Traditional_media'}"
217,Explain the relationship between the United Nations and non-governmental organizations and its significance.,explanatory,"{'entity A': 'United Nations', 'entity B': 'non-governmental organizations'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/United_Nations', 'entity B': 'http://dbpedia.org/resource/Non-governmental_organization'}",217,"{'entity A': 'United_Nations', 'entity B': 'Non-governmental_organization'}"
218,How do you evaluate the impact of the Internet on modern communication? Please explain your viewpoint.,critical,"{'person/event': 'Internet', 'field': 'modern communication'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Communication'}",218,"{'person/event': 'Internet', 'field': 'Communication'}"
219,Please describe Leonardo da Vinci’s contributions to the field of art.,descriptive,"{'person': 'Leonardo da Vinci', 'field': 'art'}",high,medium,"{'person': 'http://dbpedia.org/resource/Leonardo_da_Vinci', 'field': 'http://dbpedia.org/resource/Art'}",219,"{'person': 'Leonardo_da_Vinci', 'field': 'Art'}"
220,Why did Steve Jobs decide to return to Apple in 1996?,explanatory,"{'person': 'Steve Jobs', 'action': 'decide to return to Apple', 'time': '1996'}",high,medium,"{'person': 'http://dbpedia.org/resource/Steve_Jobs', 'action': 'http://dbpedia.org/resource/History_of_Apple_Inc.#1996:_Acquisition_of_NeXT'}",220,"{'person': 'Steve_Jobs', 'action': '1996:_Acquisition_of_NeXT'}"
221,"Based on advances in renewable energy technologies, what do you think the energy sector might look like in the next decade?",predictive,"{'entity': 'advances in renewable energy technologies', 'time': 'the next decade'}",high,medium,"{'entity': 'http://dbpedia.org/resource/Renewable_energy', 'time': 'http://dbpedia.org/resource/Decade'}",221,"{'entity': 'Renewable_energy', 'time': 'Decade'}"
222,Compare the impact of the Industrial Revolution and the Information Age on societal development.,comparative,"{'entity A': 'Industrial Revolution', 'entity B': 'Information Age', 'aspect': 'societal development'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Industrial_Revolution', 'entity B': 'http://dbpedia.org/resource/Information_Age'}",222,"{'entity A': 'Industrial_Revolution', 'entity B': 'Information_Age'}"
223,How do you evaluate the impact of the COVID-19 pandemic on the global economy? Please explain your viewpoint.,critical,"{'event': 'COVID-19 pandemic', 'field': 'global economy'}",high,medium,"{'event': 'http://dbpedia.org/resource/COVID-19_pandemic', 'field': 'http://dbpedia.org/resource/Global_economy'}",223,"{'event': 'COVID-19_pandemic', 'field': 'Global_economy'}"
224,Compare and contrast the educational approaches of Finland and Japan.,comparative,"{'entity A': 'Finland', 'entity B': 'Japan', 'aspect': 'educational approaches'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Finland', 'entity B': 'http://dbpedia.org/resource/Japan'}",224,"{'entity A': 'Finland', 'entity B': 'Japan'}"
225,How do you evaluate the impact of the Industrial Revolution on modern manufacturing practices? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern manufacturing practices'}",high,hard,{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution'},225,{'person/event': 'Industrial_Revolution'}
226,Compare the impact of the Great Depression and the 2008 financial crisis on the global economy.,comparative,"{'historical event A': 'Great Depression', 'historical event B': '2008 financial crisis'}",high,hard,"{'historical event A': 'http://dbpedia.org/resource/Great_Depression', 'historical event B': 'http://dbpedia.org/resource/Financial_crisis_of_2007–2008'}",226,"{'historical event A': 'Great_Depression', 'historical event B': 'Financial_crisis_of_2007–2008'}"
227,How do you evaluate the impact of the Internet on modern education? Please explain your viewpoint.,critical,"{'person/event': 'the Internet', 'field': 'modern education'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Education'}",227,"{'person/event': 'Internet', 'field': 'Education'}"
228,Explain the relationship between the Amazon rainforest and global climate patterns and its significance.,explanatory,"{'entity A': 'Amazon rainforest', 'entity B': 'global climate patterns'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Amazon_rainforest', 'entity B': 'http://dbpedia.org/resource/Climate'}",228,"{'entity A': 'Amazon_rainforest', 'entity B': 'Climate'}"
229,"Based on the current advancements in artificial intelligence, how do you predict the future of autonomous vehicles will develop?",predictive,"{'field': 'artificial intelligence', 'future event': 'autonomous vehicles'}",high,medium,"{'field': 'http://dbpedia.org/resource/Artificial_intelligence', 'future event': 'http://dbpedia.org/resource/Autonomous_car'}",229,"{'field': 'Artificial_intelligence', 'future event': 'Autonomous_car'}"
230,Compare and contrast the economic policies of the Great Depression and the 2008 Financial Crisis.,comparative,"{'historical event A': 'Great Depression', 'historical event B': '2008 Financial Crisis'}",high,hard,"{'historical event A': 'http://dbpedia.org/resource/Great_Depression', 'historical event B': 'http://dbpedia.org/resource/Financial_crisis_of_2007–2008'}",230,"{'historical event A': 'Great_Depression', 'historical event B': 'Financial_crisis_of_2007–2008'}"
231,How do you evaluate Steve Jobs’s impact on technology innovation? Please explain your viewpoint.,critical,"{'person': 'Steve Jobs', 'field': 'technology innovation'}",high,medium,"{'person': 'http://dbpedia.org/resource/Steve_Jobs', 'field': 'http://dbpedia.org/resource/Innovation'}",231,"{'person': 'Steve_Jobs', 'field': 'Innovation'}"
232,Explain the relationship between the Internet and modern communication and its significance.,explanatory,"{'entity A': 'Internet', 'entity B': 'modern communication'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Internet', 'entity B': 'http://dbpedia.org/resource/Communication'}",232,"{'entity A': 'Internet', 'entity B': 'Communication'}"
233,"Based on the current technological advancements, how do you predict artificial intelligence integration will develop in various industries?",predictive,{'event': 'artificial intelligence integration'},high,hard,{'event': 'http://dbpedia.org/resource/Artificial_intelligence'},233,{'event': 'Artificial_intelligence'}
234,Compare and contrast the economic policies of the United States and China in the 21st century.,comparative,"{'entity A': 'United States', 'entity B': 'China', 'aspect': 'economic policies in the 21st century'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/United_States', 'entity B': 'http://dbpedia.org/resource/China'}",234,"{'entity A': 'United_States', 'entity B': 'China'}"
235,How do you evaluate the impact of social media on political mobilization? Please explain your viewpoint.,critical,"{'person/event': 'social media', 'field': 'political mobilization'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Politics'}",235,"{'person/event': 'Social_media', 'field': 'Politics'}"
236,Compare and contrast the similarities and differences between the leadership styles of Nelson Mandela and Winston Churchill.,comparative,"{'entity A': 'Nelson Mandela', 'entity B': 'Winston Churchill', 'aspect': 'leadership styles'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Nelson_Mandela', 'entity B': 'http://dbpedia.org/resource/Winston_Churchill'}",236,"{'entity A': 'Nelson_Mandela', 'entity B': 'Winston_Churchill'}"
237,How do you evaluate the impact of social media on modern communication? Please explain your viewpoint.,critical,"{'subject': 'social media', 'field': 'modern communication'}",high,medium,"{'subject': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Communication'}",237,"{'subject': 'Social_media', 'field': 'Communication'}"
238,How do you evaluate the impact of the Industrial Revolution on modern manufacturing techniques? Please explain your viewpoint.,critical,"{'event': 'the Industrial Revolution', 'field': 'modern manufacturing techniques'}",medium,hard,"{'event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Manufacturing'}",238,"{'event': 'Industrial_Revolution', 'field': 'Manufacturing'}"
239,Please describe Jane Goodall’s contributions to the field of primatology.,descriptive,{'person': 'Jane Goodall'},high,medium,{'person': 'http://dbpedia.org/resource/Jane_Goodall'},239,{'person': 'Jane_Goodall'}
